orl_id,entity_key,prospect,market,eligible,hold_reason,category,service_fit,public_portfolio,decision_maker,linkedin,instagram,official_website,official_email,official_fallback,market_message,message_template,research_state,assignment_state,contacted_proof,send_evidence,reply_state,accessed_at,source_urls
ORL-DXB-012,edorahomes.com,Edora Homes,"Dubai, UAE",YES,,Dubai boutique holiday-home management operator,"Boutique operator with public Dubai inventory and a defined owner-enquiry route; a complementary or overflow free one-listing review is plausible, not evidence of a capability gap.",https://edorahomes.com/book.html,Chris or Harshith — new owner enquiries,,,https://edorahomes.com/,info@edorahomes.com,https://edorahomes.com/contact/ (official public contact page; info@edorahomes.com and +971 58 583 3672 published; no contact made),"Edora's official site displays 28 properties and featured Dubai inventory across Business Bay, Dubai Marina, Palm Jumeirah, Downtown Dubai and JBR.","Hi Chris and Harshith — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Edora’s site shows a Dubai portfolio across communities including Business Bay, Dubai Marina, Palm Jumeirah, Downtown and JBR, and already describes dynamic pricing. If useful, we’d be glad to provide a free complementary one-listing review of booking windows, rate structure and minimum stays, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would that be useful for one current listing?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://edorahomes.com/ | https://edorahomes.com/contact/ | https://edorahomes.com/book.html
ORL-DXB-014,homevy.com,Homevy Luxury Vacation Homes Rental LLC,"Dubai, UAE",YES,,Dubai short-stay rental management operator,"Public Dubai STR operator with direct-booking inventory and owner-management services; a complementary one-listing review is plausible, not evidence that Homevy lacks pricing capability.",https://homevy.com/book/areas,Unknown / unverified,,,https://homevy.com/,,https://homevy.com/contact-us (official public contact page; +971 50 146 1100 and Dubai address published; no contact made),"Homevy's official site shows direct-booking inventory in Dubai Marina, Dubai Creek Harbour and Marina Promenade and lists dynamic pricing among owner services.","Hi Homevy team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site shows Dubai short-stay inventory across areas including Dubai Marina and Dubai Creek Harbour, and already describes dynamic pricing and owner reporting. If useful, we’d be glad to provide a free complementary one-listing review of rate structure, booking windows and minimum stays, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://homevy.com/ | https://homevy.com/contact-us | https://homevy.com/short-stay-management-fees | https://homevy.com/book/areas
ORL-DXB-015,royalestays.com,Royale Stays,"Dubai, UAE",YES,,Dubai short-term-rental operator,"Publicly verified Dubai operator with a multi-community STR portfolio; plausible complementary or overflow review fit, without presuming deficient internal revenue capability.",https://royalestays.com/airbnb-management-services-dubai/,Chris Veinbaums — founder (company page byline),,,https://royalestays.com/,chrisv@royalestays.com,https://royalestays.com/airbnb-management-services-dubai/ (official public service page; chrisv@royalestays.com and +971 56 642 4239 published; no contact made),"Royale Stays publicly lists managed apartments across Palm Jumeirah, Dubai Marina, Downtown Dubai, JBR and Business Bay, plus one Mag City villa.","Hi Chris — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Royale Stays’ Dubai service page already describes pricing, event-aware rate adjustments and monthly owner reporting across communities including Palm Jumeirah, Dubai Marina, Downtown, JBR and Business Bay. If useful, we’d be glad to provide a free second-opinion on one listing as a possible complementary or overflow review, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://royalestays.com/ | https://royalestays.com/airbnb-management-services-dubai/
ORL-DXB-016,shellgrow.com,Shellgrow Holiday Homes L.L.C,"Dubai, UAE",YES,,Dubai short-term and medium-term rental operator,Plausible complementary or overflow revenue-management review because the operator publicly manages short-term rentals and booking calendars; capability and appetite for outside support remain unverified.,https://shellgrow.com/,Unknown / unverified,,,https://shellgrow.com/,info@shellgrow.com,https://shellgrow.com/ (official public site; info@shellgrow.com and +971 50 573 7986 published; no contact made),The official site describes Shellgrow's Dubai short-term/medium-term rental operation and publishes a self-reported 200+ apartment portfolio.,"Hi Shellgrow team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site describes Shellgrow’s Dubai short-term and medium-term rental operation, including booking-calendar management and financial reporting. If useful, we’d be glad to provide a free one-listing review of rate structure, booking windows, minimum stays and event positioning as a possible complementary or overflow review, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://shellgrow.com/
ORL-DXB-017,staybetterdxb.ae,StayBetterDXB,"Dubai, UAE",YES,,Dubai holiday-home and short-term-rental management operator,Public Dubai operator with an advertised portfolio and consulting/management service; free one-listing review fit is plausible while scale and appetite remain unknown.,https://staybetterdxb.ae/property-portfolio/,Unknown / unverified,,https://www.instagram.com/staybetterdxb/,https://staybetterdxb.ae/,,"https://staybetterdxb.ae/contact-us/ (official public contact page; +971 50 572 6114, WhatsApp and Instagram published; no contact made)",StayBetterDXB's official site describes Dubai apartment and villa short-term-rental management and links to a public property portfolio.,"Hi StayBetterDXB team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site describes Dubai short-term-rental management for apartments and villas and links to a public property portfolio. If useful, we’d be glad to run a free one-listing review of rate structure, booking windows and minimum stays and share practical observations, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current Dubai listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://staybetterdxb.ae/ | https://staybetterdxb.ae/contact-us/ | https://staybetterdxb.ae/property-portfolio/ | https://www.instagram.com/staybetterdxb/
ORL-DXB-018,holidayhomemanagement.ae,PRHO Signature Holiday Homes,"Dubai, UAE",YES,,Dubai short-term-rental management operator,"Public Dubai operator with direct operational scale, exact self-reported portfolio support and revenue-optimisation service; plausible complementary/overflow review fit without presuming deficient capability.",https://holidayhomemanagement.ae/,Privado & Holczer — founders named on official site,,,https://holidayhomemanagement.ae/,,https://holidayhomemanagement.ae/ (official public site with WhatsApp route https://wa.me/971585891289; no contact made),"PRHO's official site describes a 500+ holiday-home support network, 50+ team members and Dubai-wide management with daily pricing optimisation.","Hi Privado and Holczer — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site describes PRHO’s Dubai-wide operation, 500+ holiday homes supported and daily revenue optimisation. If useful, we’d be glad to provide a free complementary one-listing review of rate structure, booking windows and minimum stays as a possible overflow or second-opinion resource, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://holidayhomemanagement.ae/ | https://holidayhomemanagement.ae/contact-us
ORL-DXB-019,s-holidayhomes.com,The S Holiday Homes,"Dubai, UAE",YES,,Dubai holiday-home management operator,"Public Dubai holiday-home operator with a catalogue route, multi-channel distribution and analytics/revenue-management scope; plausible complementary review fit without presuming deficient capability.",https://www.s-holidayhomes.com/property,Muhammad Ali — manager named on official site,,,https://www.s-holidayhomes.com/,info@s-holidayhomes.com,"https://www.s-holidayhomes.com/property (official public property/catalogue and contact route; info@s-holidayhomes.com, +971 4 871 2205 and +971 56 537 8460 published; no contact made)","The S Holiday Homes property page describes Dubai vacation homes, 100+ distribution channels and hands-off owner operations.","Hi S Holiday Homes team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your property page describes a Dubai holiday-home catalogue, 100+ distribution channels and analytics/revenue-management support. If useful, we’d be glad to provide a free complementary one-listing review of rate structure, booking windows and minimum stays as a possible second opinion, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://www.s-holidayhomes.com/ | https://www.s-holidayhomes.com/property | https://www.s-holidayhomes.com/holiday-home-management
ORL-DXB-020,vayk.ae,VayK,"Dubai, UAE",YES,,Dubai holiday-home management operator,Public Dubai STR operator with official management inventory and pricing/operations scope; plausible complementary one-listing review fit without presuming missing capability.,https://vayk.ae/,Unknown / unverified,,,https://vayk.ae/,client@vayk.ae,"https://vayk.ae/contact.html (official public contact page; client@vayk.ae, +971 58 188 9648 and WhatsApp https://wa.me/971581889648; no contact made)","VayK's official site states 120+ properties managed and describes daily pricing optimisation, 10+ channels and owner dashboards.","Hi VayK team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. Your site describes VayK’s Dubai operation, 120+ managed properties and daily price optimisation across 10+ platforms. If useful, we’d be glad to provide a free complementary one-listing review of rate structure, booking windows, minimum stays and event positioning as a possible second opinion, with no automatic changes or guaranteed uplift: https://www.oasisrevenuelab.com. Would one current listing be useful to test?",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-14,https://vayk.ae/ | https://vayk.ae/airbnb-management.html | https://vayk.ae/contact.html
ORL-DXB-021,bhavan.ae,Bhavan Vacation Homes,"Dubai, UAE",YES,,Dubai vacation-home operator,Boutique operator with named Dubai holiday-home inventory and public business route; free one-listing review is plausible.,https://bhavan.ae/properties/bayz-by-danubebusiness-bay/,Unknown / unverified,https://linkedin.com/company/bhavan-vacation-homes,,https://bhavan.ae/,,https://linkedin.com/company/bhavan-vacation-homes; +971 52 871 7152 / +971 52 879 1604 published on public company profile,Official property pages show named Bhavan vacation-home units in Dubai Business Bay.,"Hi Bhavan team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. After seeing your public Dubai Business Bay holiday-home listings, we’d be glad to offer a free one-listing review as a possible complementary second opinion, with no performance claim or guarantee: https://www.oasisrevenuelab.com. UNSENT.",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-15,https://bhavan.ae/properties/bayz-by-danubebusiness-bay/ | https://bhavan.ae/properties/damac-maison-prive-business-bay/ | https://linkedin.com/company/bhavan-vacation-homes | https://bhavan.ae/
ORL-DXB-022,dacha.ae,Dacha Real Estate — Vayk by Dacha,"Dubai, UAE",YES,,Dubai vacation-home management operator,Established Dubai vacation-home management service with visible short-term operating scope; complementary review fit plausible without assuming capability gap.,https://www.dacha.ae/holiday-homes,Unknown / unverified,,,https://www.dacha.ae/,info@dacha.ae,https://www.dacha.ae/holiday-homes; info@dacha.ae; +971 50 531 3003,"Official Dacha page describes Vayk by Dacha's Dubai short-term management, DTCM registration and daily price optimisation.","Hi Dacha team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. After seeing your Vayk by Dacha Dubai holiday-home management service, we’d be glad to offer a free one-listing review as a possible complementary second opinion, with no performance claim or guarantee: https://www.oasisrevenuelab.com. UNSENT.",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-15,https://www.dacha.ae/holiday-homes | https://www.dacha.ae/
ORL-DXB-023,deluxehomes.com,Deluxe Holiday Homes,"Dubai, UAE",YES,,Dubai holiday-home and short-term-rental operator,Established operator with visible Dubai short-stay inventory; a free one-listing review could be complementary or second-opinion support without presuming a capability gap.,https://www.deluxehomes.com/,Unknown / unverified,,,https://www.deluxehomes.com/,info@deluxehomes.ae,https://www.deluxehomes.com/contact-us/; owner enquiry email info@deluxehomes.ae published at https://www.deluxehomes.com/property-management/; +971 4 392 0202,Official site visibly offers Dubai furnished apartments and villas for short stays and owner property-management enquiries.,"Hi Deluxe Holiday Homes team — we’re Oasis Revenue Lab, the revenue-management business in Lux Oasis Advisory & Services’ STR ecosystem. After seeing your public Dubai short-stay apartments and villas, we’d be glad to offer a free one-listing review as a possible complementary second opinion, with no performance claim or guarantee: https://www.oasisrevenuelab.com. UNSENT.",research_candidate / unsent,UNASSIGNED,NO,No proof-backed send or reply recorded,NONE VERIFIED,2026-09-15,https://www.deluxehomes.com/ | https://www.deluxehomes.com/property-management/ | https://www.deluxehomes.com/contact-us/
