Company/Person,Type,Public source,Why relevant,Fit score,Status,Next action
Frank Porter,Large operator / benchmark,https://www.frankporter.com/,"Large Dubai/UAE short-let manager with 650+ properties; useful benchmark, not early beta ICP.",42,Benchmark only,Do not prioritise for early outreach
Vacationer Holiday Homes,Large operator / benchmark,https://airbtics.com/top-airbnb-management-companies-in-dubai-united-arab-emirates,"Airbtics lists Vacationer among leading Dubai Airbnb management companies; useful as benchmark and possible management-switch context.",45,Benchmark only,Do not prioritise for early outreach
Rentico,Dubai holiday-home operator,https://www.instagram.com/reel/DYMXzCAOKYB/,"Recent public content positions property management around smart owner portal and Dubai holiday-home returns; possible operator using technology but may still value external revenue audit.",63,Research only,Find official website/contact and qualify portfolio size before outreach
S Holiday Homes,Dubai holiday-home operator,https://www.s-holidayhomes.com/holiday-home-management,"Public site highlights dynamic pricing and owner portal as differentiators; good fit for a revenue audit angle around pricing guardrails and owner reporting.",69,Research only,Prepare audit-first message focused on PriceLabs/dynamic pricing review and owner-facing revenue clarity
Transparency Holiday Homes / Transparency Estate,Dubai holiday-home operator,https://www.transparencyestate.com/holiday-homes/opportunity,"Public page offers end-to-end holiday-home management including dynamic pricing and performance reporting, with a calculator showing management fee assumptions; likely revenue-aware but may need reporting/advisory support.",61,Research only,Use as lower-priority prospect or benchmark; look for decision-maker before outreach
First Class Property Management,Dubai STR operator,https://www.firstclass-dxb.com/,"Site claims luxury holiday-home management, dynamic pricing/revenue management and high occupancy; likely mature operator but their public education content creates a peer-to-peer revenue conversation hook.",58,Benchmark only,Do not cold pitch first unless warm route found; use content as benchmark for website wording
Deluxe Holiday Homes,Large operator / benchmark,https://www.deluxehomes.com/property-management/,"Large licensed operator with owner portal and dynamic pricing technology; likely too mature for early Revenue Lab but useful benchmark for owner-reporting and dynamic-pricing claims.",40,Benchmark only,Use as competitor/benchmark only
Rovehaven,Dubai holiday-home operator,https://rovehaven.com/blog/increase-holiday-homes-revenue-in-dubai/,"Public content claims expert Airbnb management, dynamic pricing algorithms and 30-50% annual revenue increase; revenue-forward positioning makes them a benchmark and possible peer conversation target.",50,Benchmark only,Do not prioritise for first wave; avoid competing claim language
Livbnb,Dubai vacation rental manager,https://www.livbnb.com/,"Public FAQ says Livbnb uses dynamic pricing tools, market analysis and vacation rental management to balance occupancy and nightly rates; likely mature but relevant benchmark.",48,Benchmark only,Use as market benchmark unless direct contact/warm route exists
Totality Holiday Homes,Dubai holiday-home operator,https://totalityholidayhomes.ae/,"Dubai holiday-home operator with owner/compliance positioning; possible boutique/mid-size target if portfolio size is suitable.",60,Research only,Find decision-maker and check whether revenue management is a visible pain point
Stay Local Holiday Homes,Dubai holiday-home operator,https://staylocalholidayhomes.com/property-management/,"Public page highlights dynamic pricing and owner portal access with real-time occupancy/revenue tracking; public listings found in Business Bay/Meydan including Peninsula 5, Marquise Square Tower and Azizi Riviera; possible data-quality signal on Marquise Square page.",82,Approval-ready,Verify email/contact route, then send Draft 1 from ORL_UNDERPERFORMANCE_OUTREACH_REPORT_2026-06-25.md after Damiano approval
bnbme Holiday Homes,Dubai holiday-home operator,https://www.bnbmehomes.com/blogs/how-holiday-homes-dubai-boost-rental-income,"Public content discusses dynamic pricing and occupancy optimisation; larger/mature operator but relevant benchmark and possible lower-priority outreach if warm route exists.",46,Benchmark only,Use as competitor benchmark and content reference
Relaxy Stay,Dubai holiday-home operator,https://relaxystay.com/property-management-for-short-term-rentals-across-dubai/,"Public page covers Dubai short-term rental property management and DTCM rules; possible operator prospect if portfolio is boutique enough.",57,Research only,Find contact and qualify pricing/revenue-management maturity before outreach
Holiday Homes in Dubai,Dubai holiday-home operator,https://www.offthemrkt.com/lifestyle/5-trusted-property-management-firms-in-dubai-for-hands-off-rental-income,"Third-party article says firm uses 20% performance-based model, oversees 800 properties and uses dynamic pricing; too large for early beta but useful benchmark.",38,Benchmark only,Use as full-management benchmark only
Stayfinity,Dubai holiday-home operator,https://daltxrealestate.com/premium-airbnb-managers-dubai/,"Listed among premium Dubai Airbnb managers; needs verification through official site/contact before any pitch.",55,Research only,Verify official website and portfolio size
Wyz Rent,Dubai holiday-home operator,https://www.instagram.com/reel/DLvG4WFyHs1/,"Public content references Hostaway-powered owner portal and property performance; possible tool-aware operator where Revenue Lab can offer an external pricing/reporting review.",62,Research only,Find official site/decision-maker and prepare Hostaway/owner-portal angle
Exclusive Links Vacation Homes,Dubai holiday-home / real estate operator,https://www.instagram.com/p/DTfYWPBksmt/,"Public content indicates vacation-home offering; may have real estate/holiday-home crossover and owner-facing reporting needs.",55,Research only,Verify official decision-maker and whether STR pricing support is relevant
Arbab Holiday Homes,Dubai holiday-home operator,https://www.instagram.com/reel/DRuGqLsEUfh/,"Public content around Dubai holiday homes and market booking levels; possible smaller operator if official contact can be verified.",56,Research only,Verify company website/contact and portfolio before outreach
Purple Holiday Homes,Dubai holiday-home operator,https://purpleholidayhomes.ae/,"Dubai Marina / JBR / Palm-facing operator with public 24/7 guest support language and a visible owner-service angle; good Revenue Lab audit target if a decision-maker route is confirmed.",76,Research only,Use public site route and verify whether they want a free one-listing pricing/reporting second opinion
Dubai Vacation Homes,Dubai holiday-home operator,https://www.dubaivacationhomes.com/contact,"Established Dubai Marina operator with a clear owner contact page and holiday-home management positioning; suitable for a one-listing revenue leak audit.",74,Research only,Use owner contact page and qualify whether they use dynamic pricing or only static rate management
WYZ Rent,Dubai holiday-home operator,https://wyzrent.com/contact,"Premium Dubai operator with public contact routes, Owner Services by Area, and a self-described revenue/AI-enhanced operations angle; useful for Revenue Lab positioning.",73,Research only,Use contact page and Hostaway/owner-portal angle for a short audit-first opener
Rita Tolpo / Locations Holiday Homes by Aqua Properties,Holiday-home operations manager,https://ae.linkedin.com/in/rita-tolpo,"Dubai-based operations manager profile with holiday-homes / short-term rental / guest-performance language; useful as a possible Revenue Lab buyer or champion.",71,Research only,Verify whether she is still in a buying role or purely employed operator
Rohit Samal,Revenue & operations manager,https://ae.linkedin.com/in/rohit-samal-37b254257,"Dubai short-term rental revenue/ops profile with data-driven pricing and OTA performance wording; strong fit for Revenue Lab buyer or beta-user outreach.",79,Research only,Check current employer and whether he buys external revenue support
Guestable NYC,NYC STR / furnished-stay operator,https://guestable.com/,"NYC presence with public pricing/calendar/performance optimisation language; clean fit for Oasis Revenue Lab one-listing revenue-management review on legal serviced/furnished/compliant inventory.",82,Copy-paste ready,"Use contact `hosting@guestable.com`; send compliance-safe NYC email from Damiano or approved sender"
Rove Travel NYC,NYC 30+ day furnished / flexible-stay operator,https://rovetravel.com/,"Premium furnished/flexible-stay operator with public NYC inventory and revenue/compliance complexity; useful second-wave NYC operator target for pricing, booking-window and minimum-stay review.",76,Copy-paste ready,"Use contact `concierge@rovetravel.com`; send after Guestable or include in manual NYC batch"
Furnished Quarters,NYC / Jersey City corporate housing operator,https://www.furnishedquarters.com/,"Large corporate-housing and furnished-apartment portfolio; compliant 30+ day/flexible-stay angle makes it relevant, but larger company means lower early-conversion odds.",70,Copy-paste ready,"Use contact `corporatesales@furnishedquarters.com`; pitch one-unit furnished-apartment revenue review"
Blueground for Business,NYC furnished-apartment operator,https://www.theblueground.com/,"Large furnished-apartment operator with many NYC units visible publicly; useful enterprise/benchmark route, but probably not a quick paid pilot unless the message reaches a revenue/partnership owner.",64,Copy-paste ready,"Use contact `bgforbusiness@theblueground.com`; treat as lower-priority company-host outreach"
Inna,Houfy host / Manhattan furnished apartments,https://www.houfy.com/,"Multiple Manhattan UES/Central Park furnished-apartment listings found via Houfy; host route is platform-message only but fits the people-host version of the NYC ORL lane if 30+ day/compliant stays.",78,Manual platform route,"Open Houfy profile/listings manually; send short host-style message asking for one UES listing review"
EscapeStays,Houfy host / Jersey City near NYC,https://www.houfy.com/,"Jersey City Heights listing near NYC demand with verified/fast-response Houfy signal; good NYC-adjacent host-level test for event/seasonality, gap-night and direct-booking revenue review.",74,Manual platform route,"Open Houfy route manually; use short host-style copy, no email found"
Pearl,Houfy host / Jersey City near NYC,https://www.houfy.com/,"Jersey City house/listing with public long-hosting signal and possible multi-property route; useful people-host prospect for NYC-access demand and seasonality review.",70,Manual platform route,"Open Houfy route manually; ask if she wants one-property revenue review"
Eric,Houfy host / NYC-adjacent New Jersey,https://www.houfy.com/,"Lower-value but very responsive Houfy host signal; useful cheap test of the people-host revenue-review offer, not a priority over Guestable/Rove/Inna.",58,Manual platform route,"Use only as filler/test after stronger NYC/NJ routes"
MyHouseMgmt,NYC property management / furnished-stay route,https://www.myhousemgmt.com/,"Public NYC property-management route with pricing/calendar relevance, but only contact form/phone route found so far; do not count as send-ready email.",62,Parked,"Use only if Damiano approves contact-form outreach or a direct email is recovered"
