Market,Host / operator,Airbnb host/profile link,Airbnb property links,Website / property link,Estimated property count,Email,Email status,Fit status,Evidence / notes,Review status,Damiano approval,Last updated
Milan,Mirable Property Management,Not verified,https://www.airbnb.com/rooms/1370294791567046433; https://www.airbnb.com/rooms/1485367187089850635; https://www.airbnb.com/rooms/1528801875635432148; https://www.airbnb.com/rooms/1501506594226172083,Not verified,At least 4 Milan Airbnb listings found,Not verified,Needs contact-route search,Possible target after contact/size review,"Airbnb snippets show Mirable PM listings in Porta Romana, Rovereto, Duomo and Navigli. Good neighbourhood coverage and 4 listing examples, but public email and exact portfolio size are not verified.",Needs contact + size review,Needs Damiano approval before any email,2026-07-31
Milan,Navigli Apartments,Not verified,Not verified,Website/property page needs exact URL,4 accommodations visible on public site,orsini.leti@gmail.com,Verified public email,Small-operator candidate,"Public site shows Attico con terrazzo Navigli Bocconi, Attico in un'oasi di verde sui Navigli, Casa alle colonne, Studio alla Darsena. Exact Airbnb links not verified.",Needs exact Airbnb link review,Needs Damiano approval before any email,2026-07-31
Milan,Top Collection / Corina,Not verified,https://www.airbnb.com/rooms/1724674557086285866; https://www.airbnb.com/rooms/37495970; https://www.airbnb.com/rooms/936706077381474374; https://www.airbnb.com/rooms/1695007169838420408; https://www.airbnb.com/rooms/1385385135864923081,Not verified,Multiple Milan/Rome listings; likely above target,Not verified,Needs direct contact if ever reopened,Backup / likely too established,"Airbnb snippets show Corina, Property Manager at Top Collection, with vacation homes in Milan and Rome. Several exact listing links found, but likely more established and no direct contact route verified.",Backup only,Needs Damiano approval before any email,2026-07-31
Milan,Travel Inside,Not verified,Not verified,https://travelinside.org/en/property-manager/,Unknown,Not verified,Unverified email,Research only,"Public property-manager page mentions dynamic price management, so not ideal unless a specific weak listing is found.",Research only,Needs Damiano approval before any email,2026-07-31
Rome,Abrahin / Vantagio Property Management,Not verified,https://www.airbnb.com/rooms/1068073012232731394; https://www.airbnb.com/rooms/1241365038739868010,https://www.facebook.com/vantagio,Unknown; Airbnb snippet says apartments/services on Vantagio.com,Not verified,Needs contact-route search,Candidate after contact verification,Airbnb snippet for Boutique apartment with terrace in central Rome says host Abrahin is a property manager and points to Vantagio. Exact portfolio size and direct contact route not verified.,Needs contact + portfolio-size review,Needs Damiano approval before any email,2026-07-31
Rome,Alex / co-host Giovanni - Casa di Testaccio,Not verified,https://www.airbnb.com/rooms/1392021667917248508,Not found,1-2 unverified,Not found,No public off-Airbnb email found,Benchmark only,"Damiano's target example. Rome/Testaccio, strong reviews, small-host profile. Use as benchmark, not outreach until public contact route is verified.",Needs Damiano/manual review,Needs Damiano approval before any email,2026-07-31
Rome,Charme Holidays,https://www.airbnb.com/users/show/12820106,Example listings in search snippets only,https://charmeholidays.com,Around 10 visible in snippets,booking@ surfaced in search only,Unverified email,Possible but not sendable,Airbnb host profile known from CRM. Contact route not verified enough. Needs exact listing and public email confirmation.,Research only,Needs Damiano approval before any email,2026-07-31
Rome,FCR Rome Apartments,Not verified,https://www.airbnb.com/rooms/2498245; https://www.airbnb.com/rooms/2492783; https://www.airbnb.com/rooms/768531069934692909,https://fcrromeapartments.it/en,3 properties,info@fcrromeapartments.it,Verified public email,Strong Rome candidate,Tiny central Rome/Vatican-Prati portfolio with three exact Airbnb listing links and public website/contact. Fits target size and likely benefits from dynamic-pricing/listing-performance audit without feeling corporate.,Needs Damiano approval + final listing/pricing review,Needs Damiano approval before any email,2026-07-31
Rome,FromHometoRome / FHTR,Not verified,https://www.airbnb.com/rooms/759296858142763634; https://www.airbnb.com/rooms/1161348656437096110; https://www.airbnb.com/rooms/759289368114160279,https://www.fromhometorome.com,"Multi-property, count needs verification",info@fromhometorome.com,Verified public email,Possible but may be above ideal size,"Airbnb results found for Frattina 2, Testaccio 11 and Frattina 1. Needs review because it may be more established than the ideal tiny-host profile.",Needs size/fit review,Needs Damiano approval before any email,2026-07-31
Rome,Luca / Vivora central Rome co-host,Not verified,https://www.airbnb.com/rooms/1148490492739423354; https://www.airbnb.com/rooms/1709446111811534051; https://www.airbnb.com/rooms/30946650,Not verified,16 Airbnbs in central Rome per Airbnb snippets,Not verified,Needs contact-route search,Backup / slightly above target,"Airbnb snippets say Luca is a co-host of 16 central Rome Airbnbs and started managing in 2024. Strong listing source evidence, but 16 is above the preferred 2-10 band and no off-Airbnb contact route is verified.",Backup; verify contact before any draft,Needs Damiano approval before any email,2026-07-31
Rome,Majo Houses,Not verified,https://www.airbnb.com/rooms/872926201901204975,https://majohouses.com/en,2 visible properties,info@majohouses.com,Verified public email,Strong small-operator candidate,Majo Apartment and Majo Suite visible on public site. Quote-first / approval-style booking flow. Airbnb result found for MajoSuite; host profile not verified yet.,Needs host/listing review,Needs Damiano approval before any email,2026-07-31
Rome,Rental in Rome / Testaccio apartment,Not verified,Not verified,Website/property page needs exact URL,Unknown,info@rentalinrome.com,Verified public email,Candidate only after exact property match,CRM notes a public Testaccio apartment and visible price around EUR 95/night. Exact listing/property link must be verified before draft.,Needs exact property link review,Needs Damiano approval before any email,2026-07-31
Rome,Roam Rome / Testaccio apartment,Not verified,https://www.airbnb.com/h/roamrome,https://www.roamrome.net/stay,1 verified on website,hello@roamrome.net,Verified public email,Sent once before correction - do not resend,Single Testaccio apartment hosted by a Roman. Roam Rome page links directly to Airbnb short URL. Email already sent once without link/proof asset; pause and do not duplicate.,Sent once / paused,Needs Damiano approval before any email,2026-07-31
Rome,ROMAC / Stay ROMAC,Not needed,Market-map listings only,https://stayromac.com/en/join-romac/,Over 40 according to public site,hello@stayromac.com,Verified public email,Parked / too large,"Useful market map, not the small-operator target. Public site already references analytics / real-time rates.",Parked,Needs Damiano approval before any email,2026-07-31
Rome,Rome Boutique Apartments / Marzia & Federico,Not verified,https://www.airbnb.com/rooms/41921141; https://www.airbnb.com/rooms/41920698; https://www.airbnb.com/rooms/42086940,https://www.romeboutiqueapartments.com/en/home-en/,Around 5 properties,romeboutiqueapartments@gmail.com,Verified public email,Strong Rome candidate,"Small family-run Prati/Vatican portfolio. Good location and boutique quality but likely old-school enough for upside in PriceLabs/dynamic pricing, photo sequencing and guest journey. Exact Airbnb host/profile not publicly verified.",Needs Damiano approval + final listing/pricing review,Needs Damiano approval before any email,2026-07-31
Rome,Rome Trastevere Home,Not verified,Not verified,https://www.rometrasteverehome.com,"Small portfolio, count needs verification",info@rometrasteverehome.com; services@rometrasteverehome.com,Verified public emails,Candidate after exact listing review,Public pages show Trastevere / central Rome homes such as Ripa and Cancelleria. Need exact Airbnb profile/listing links before any draft.,Needs exact Airbnb link review,Needs Damiano approval before any email,2026-07-31
Rome,Romeloft,Not verified,Not verified,https://welkodia.com/en/community-map/roma-centro-storico-it,Unknown; premium Rome manager,contact@romeloft.com; +39 06 322 1430,Verified via Welkodia directory,Parked / too premium-professional,Welkodia lists Romeloft as premium Rome property manager with booking/photo/listing/admin services in Centro Storico/Trastevere/Spanish Steps. Useful market-map only unless a specific under-optimised Airbnb listing appears.,Parked market-map,Needs Damiano approval before any email,2026-07-31
Rome,Stay in Rome / Boutique Apartments,Not verified,Not verified,https://www.stay-in-rome.com/apartments/,2 properties,info@stay-in-rome.com,Verified public email,Candidate after Airbnb link verification,"Very small central boutique around Spanish Steps/Trevi, strong qualitative fit, but exact Airbnb URLs were not cleanly tied to the public site yet.",Needs exact Airbnb link verification,Needs Damiano approval before any email,2026-07-31
Rome,Vantaggio Suites & Apartments Roma Vaticano,Not verified,https://www.airbnb.ie/rooms/46103488; https://www.airbnb.gy/rooms/1284743182742914375,https://www.vantaggiobnb.it?lang=en,2 apartments on website,info@vantaggiobnb.it; +39 335 333055,Verified public website contact,Strong small-operator candidate,Website says two apartments in the same Rome building near Vatican/Ottaviano. Good location and small portfolio. Airbnb links surfaced for Maison/Dimora Vantaggio but exact host/profile still needs confirmation. Looks useful for price/calendar/listing review rather than operations replacement.,Needs exact Airbnb host/profile verification,Needs Damiano approval before any email,2026-07-31
Rome,YourSuiteRome,Not verified,Not verified,https://www.yoursuiterome.com/en/houses,7 properties,Info@yoursuiterome.com,Verified public email,"Good benchmark-size candidate, needs Airbnb verification","Central historic-core cluster with around seven houses. Size matches Damiano benchmark, but it reads more polished and exact Airbnb links are not verified yet.",Needs Airbnb link + listing/pricing review,Needs Damiano approval before any email,2026-07-31
